"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"232",37.111276,-119.728168,"SJER","SJER_046","M","SJER_046-M-20170316-COMP-DNA1",2017-03-16
"233",35.964792,-84.278894,"ORNL","ORNL_049","O","ORNL_049-O-20160727-COMP-DNA1",2016-07-27
"234",63.881243,-145.753351,"DEJU","DEJU_048","O","DEJU_048-O-20170621-COMP-DNA1",2017-06-22
"235",35.916313,-84.263286,"ORNL","ORNL_027","M","ORNL_027-M-20170624-COMP-DNA1",2017-06-21
"236",35.964792,-84.278894,"ORNL","ORNL_049","O","ORNL_049-O-20170621-COMP-DNA1",2017-06-21
"237",44.917485,-110.410361,"YELL","YELL_001","M","YELL_001-M-20180710-COMP-DNA1",2018-07-10
"238",40.185938,-112.47248,"ONAQ","ONAQ_004","M","ONAQ_004-M-20160727-COMP-DNA1",2016-07-27
"239",45.754053,-122.298512,"ABBY","ABBY_006","M","ABBY_006-M-20170605-COMP-DNA1",2017-06-05
"240",38.897609,-78.152007,"SCBI","SCBI_006","M","SCBI_006-M-20170717-COMP-DNA1",2017-07-17
"241",32.539627,-87.801968,"DELA","DELA_037","M","DELA_037-M-20160824-COMP-DNA1",2016-08-24
"242",37.112827,-119.731615,"SJER","SJER_045","M","SJER_045-M-20170316-COMP-DNA1",2017-03-16
