"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"640045ec-0253-40c1-83ff-039a3d3a76ec","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT1","Bt1",2012-12-10,2012-12-10,"3_JONES_PIT1_68-105_ARCHIVE_BT1","NEON",68,105,NA,1201,"20201216T225139Z","RELEASE-2021"
"6ec51cb5-9ea0-483a-b74a-2ab56c5e26c8","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_A","A",2012-12-10,2012-12-10,"3_JONES_PIT1_0-8_ARCHIVE_A","NEON",0,8,NA,1200.7,"20201216T225139Z","RELEASE-2021"
"e7e478f9-95a4-4455-8816-ca0c2ffac492","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW1","Bw1",2012-06-19,2012-06-19,"3_ORDWAY_PIT1_7-28_ARCHIVE_BW1","NEON",7,28,NA,1202.1,"20201216T232230Z","RELEASE-2021"
"a7b3ad0f-5235-4783-b91a-6efc1be5079f","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW2","Bw2",2012-06-19,2012-06-19,"3_ORDWAY_PIT1_28-125_ARCHIVE_BW2","NEON",28,125,NA,1198.8,"20201216T232230Z","RELEASE-2021"
"f4108afa-e543-4f49-8723-8278d7e8aaef","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW3","Bw3",2012-06-19,2012-06-19,"3_ORDWAY_PIT1_125-200_ARCHIVE_BW3","NEON",125,200,NA,1201.4,"20201216T232230Z","RELEASE-2021"
"aa562dac-134c-4275-abca-6f0ebf35ac8a","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_A","A",2012-06-19,2012-06-19,"3_ORDWAY_PIT1_0-7_ARCHIVE_A","NEON",0,7,NA,1201.1,"20201216T232230Z","RELEASE-2021"
"8dfeb943-1502-4939-acec-bfded30f099d","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","Cr",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_CR","NEON",161,200,NA,3600,"20201217T051942Z","RELEASE-2021"
"9e479165-a092-441d-9d80-604b652f1fb7","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_C","NEON",126,161,NA,3600.2,"20201217T051942Z","RELEASE-2021"
"f78d3ac2-0763-48aa-9e42-6672dac45433","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,NA,NA,NA,NA,NA,NA,"20201217T051942Z","RELEASE-2021"
"c73157ed-c440-46fc-b866-206f307cbdf4","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,NA,NA,NA,NA,NA,NA,"20201217T051942Z","RELEASE-2021"
