"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"5254","STER_031","M",2018,2018-07-19,5.93666666666667,6.76,0.0611010092660779,0.180831413200251
"5255","STER_031","M",2018,2018-10-17,6.21333333333333,7.02666666666667,0.220529665426975,0.101159939369957
"5256","STER_031","M",2019,2019-04-22,6.05,6.94666666666667,0.0655743852430199,0.0650640709864771
"5257","STER_031","M",2019,2019-07-16,5.85,6.79,0.204205778566621,0.0458257569495583
"5258","STER_031","M",2019,2019-10-22,5.91,6.89666666666667,0.0916515138991171,0.0929157324317757
"5259","STER_031","M",2020,2020-10-21,6.03,6.69,0.23259406699226,0.247588368062799
"5260","STER_032","M",2014,2014-07-24,5.82,6.59333333333333,0.0700000000000003,0.0650640709864771
"5261","STER_032","M",2016,2016-04-21,5.88666666666667,6.83,0.285365263010993,0.225166604983954
"5262","STER_032","M",2016,2016-08-16,6,6.65,0.1552417469626,0.199248588451713
"5263","STER_032","M",2016,2016-11-30,5.97666666666667,6.9,0.18147543451755,0.13228756555323
"5264","STER_033","M",2014,2014-07-23,6.77333333333333,7.47666666666667,0.0971253485622229,0.374477413649119
"5265","STER_033","M",2016,2016-04-21,7.09,7.95,0.533572862878164,0.542862781925598
"5266","STER_033","M",2016,2016-08-18,6.87666666666667,7.52333333333333,0.366651514838454,0.353459097114975
"5267","STER_033","M",2016,2016-11-30,7.05333333333333,8.00666666666667,0.486038407261539,0.585946527708232
"5268","STER_034","M",2014,2014-07-23,6.88666666666667,8.13666666666667,0.0493288286231624,0.128582010146573
"5269","STER_034","M",2016,2016-04-21,7.55,8.33,0.04,0.14
"5270","STER_034","M",2016,2016-08-17,7.59333333333333,8.21666666666667,0.228546129552293,0.127017059221717
"5271","STER_035","M",2014,2014-07-23,7.14333333333333,8.21,0.0950438495292219,0.0529150262212917
"5272","STER_035","M",2016,2016-04-20,7.64666666666667,8.49666666666667,0.00577350269189665,0.0550757054728609
"5273","STER_035","M",2016,2016-08-17,7.61666666666667,8.25666666666667,0.0602771377334171,0.0503322295684715
"5274","TALL_001","M",2014,2014-05-16,3.82666666666667,4.57333333333333,0.330807093837683,0.251462389500564
"5275","TALL_001","M",2014,2014-06-09,4.05,4.98666666666667,0.0799999999999998,0.0850490054811539
"5276","TALL_001","M",2014,2014-07-08,3.975,4.865,0.0353553390593273,0.0353553390593273
"5277","TALL_001","M",2014,2014-08-04,4.08666666666667,5.03,0.00577350269189613,0.0346410161513778
"5278","TALL_001","M",2014,2014-09-03,3.72,4.50666666666667,0.430929228528305,0.418847625435949
"5279","TALL_001","M",2014,2014-10-01,4.07,5.09666666666667,0.0529150262212917,0.144683562761405
"5280","TALL_001","M",2014,2014-10-27,4.29333333333333,5.11666666666667,0.275378527364305,0.10785793124909
"5281","TALL_001","M",2016,2016-08-23,4.03,5.04333333333333,0.235159520326097,0.365558932777375
"5282","TALL_001","M",2016,2016-10-27,4.07,5.45,0.15556349186104,0.169705627484772
"5283","TALL_001","M",2017,2017-06-12,4.49,5.22,NA,NA
"5284","TALL_001","M",2018,2018-04-04,3.62333333333333,5.16333333333333,0.0971253485622231,0.33291640592397
"5285","TALL_001","M",2018,2018-06-20,3.64666666666667,4.74666666666667,0.150111069989303,0.315013227235514
"5286","TALL_001","M",2018,2018-10-31,3.86333333333333,4.77,0.400790884793222,0.195192212959431
"5287","TALL_001","M",2019,2019-03-28,4.57333333333333,5.42,0.285365263010993,0.26
"5288","TALL_001","M",2019,2019-11-07,3.99,4.84333333333333,0.173493515728975,0.0945163125250525
"5289","TALL_001","M",2020,2020-07-13,4.00666666666667,4.70333333333333,0.172143351115671,0.133166562369588
"5290","TALL_001","M",2020,2020-11-09,3.87333333333333,4.74333333333333,0.268390263112009,0.298384539367128
"5291","TALL_001","O",2014,2014-05-16,3.30333333333333,3.96666666666667,0.26006409466386,0.203059925473574
"5292","TALL_001","O",2014,2014-07-08,3.64,4.465,0.155563491861041,0.00707106781186532
"5293","TALL_001","O",2014,2014-09-03,3.48,4.25666666666667,0.746458304260861,0.702092111715645
"5294","TALL_001","O",2014,2014-10-01,4.04333333333333,4.81666666666667,0.735005668912379,0.616143922580864
"5295","TALL_001","O",2014,2014-10-27,3.73666666666667,4.57,0.624286259125838,0.497895571380184
"5296","TALL_001","O",2016,2016-04-19,3.52,4.51,0.216564078277077,0.455302097513289
"5297","TALL_001","O",2016,2016-10-27,3.5,4.97,NA,NA
"5298","TALL_001","O",2017,2017-04-06,3.92333333333333,4.97666666666667,0.695005995177979,0.555187655962679
"5299","TALL_001","O",2017,2017-06-12,4.69333333333333,5.31666666666667,1.6998921534419,1.2663859338027
"5300","TALL_001","O",2017,2017-10-30,3.59333333333333,5.21666666666667,0.302379452564709,0.629629520697158
"5301","TALL_002","M",2014,2014-05-16,4.7,5.40333333333333,0.320780298646909,0.240277617212535
"5302","TALL_002","M",2014,2014-06-09,4.51333333333333,5.44,0.342393535764525,0.281602556806575
"5303","TALL_002","M",2014,2014-07-08,4.5,5.60333333333333,0.495681349255749,0.397156560229506
"5304","TALL_002","M",2014,2014-08-04,4.66333333333333,5.55,0.289194283023253,0.236431808350738
"5305","TALL_002","M",2014,2014-09-03,4.20666666666667,5.19666666666667,0.228108161479008,0.188767935130237
"5306","TALL_002","M",2014,2014-10-01,3.87333333333333,5.02666666666667,0.355011736895181,0.300055550412475
"5307","TALL_002","M",2014,2014-10-27,4.59666666666667,5.58666666666667,0.0838649708360609,0.161658075373095
"5308","TALL_002","M",2016,2016-04-19,4.34,5.47,0.424264068711928,0.0141421356237313
"5309","TALL_002","M",2016,2016-10-24,4.14,5.59666666666667,0.18,0.15534906930308
"5310","TALL_002","M",2017,2017-04-06,4.41,5.56,0.183847763108502,0.0282842712474619
"5311","TALL_002","M",2017,2017-06-12,4.1,5.11,0.112694276695847,0.14
"5312","TALL_002","M",2017,2017-11-01,4.24,5.75,0.258650343127551,0.26
"5313","TALL_002","M",2018,2018-04-04,4.46,6.04,0.396610640301039,0.228691932520585
"5314","TALL_002","M",2018,2018-06-20,4.48666666666667,5.82,0.338575447032612,0.16
"5315","TALL_002","M",2018,2018-10-31,4.41666666666667,5.34333333333333,0.542248405560895,0.265581123827228
"5316","TALL_002","M",2019,2019-03-28,4.90666666666667,5.46666666666667,1.10387197325294,1.00246363192553
"5317","TALL_002","M",2019,2019-11-07,4.01666666666667,4.86666666666667,0.0305505046330388,0.0665832811847944
"5318","TALL_002","M",2020,2020-07-08,4.27,5.01666666666667,0.461302503786832,0.419682419614324
"5319","TALL_002","M",2020,2020-11-11,4.20666666666667,5.07333333333333,0.117189305541646,0.0450924975282289
"5320","TALL_002","O",2014,2014-07-08,5.39,6.3,NA,NA
"5321","TALL_002","O",2014,2014-09-03,4.28,5.01,NA,NA
"5322","TALL_002","O",2014,2014-10-27,4.72,5.40666666666667,0.671043962792305,0.723417813807024
"5323","TALL_002","O",2016,2016-04-19,5.97,6.5,NA,NA
"5324","TALL_002","O",2016,2016-08-23,5.15666666666667,6.00333333333333,0.326241219549789,0.0873689494805409
"5325","TALL_002","O",2017,2017-04-06,4.09,5.01,NA,NA
"5326","TALL_003","M",2014,2014-07-07,4.53,5.49333333333333,0.445084261685358,0.423359579238894
